observation_date,MEHOINUSNHA672N
1984-01-01,68130
1985-01-01,67130
1986-01-01,76410
1987-01-01,78250
1988-01-01,80790
1989-01-01,83890
1990-01-01,86980
1991-01-01,74110
1992-01-01,79100
1993-01-01,74310
1994-01-01,67510
1995-01-01,73300
1996-01-01,71840
1997-01-01,73180
1998-01-01,79170
1999-01-01,79450
2000-01-01,84930
2001-01-01,83710
2002-01-01,89110
2003-01-01,87680
2004-01-01,87460
2005-01-01,85250
2006-01-01,90090
2007-01-01,95790
2008-01-01,90490
2009-01-01,88040
2010-01-01,90240
2011-01-01,86530
2012-01-01,87390
2013-01-01,87980
2014-01-01,92140
2015-01-01,95070
2016-01-01,94960
2017-01-01,92550
2018-01-01,97580
2019-01-01,102700
2020-01-01,104000
2021-01-01,99490
2022-01-01,88350
2023-01-01,98780
