observation_date,MEHOINUSOHA672N
1984-01-01,60790
1985-01-01,64010
1986-01-01,62820
1987-01-01,62360
1988-01-01,64730
1989-01-01,64870
1990-01-01,63980
1991-01-01,61270
1992-01-01,62990
1993-01-01,61240
1994-01-01,61020
1995-01-01,65380
1996-01-01,62110
1997-01-01,64500
1998-01-01,68540
1999-01-01,68120
2000-01-01,71650
2001-01-01,68150
2002-01-01,68760
2003-01-01,68670
2004-01-01,66280
2005-01-01,66130
2006-01-01,66730
2007-01-01,69600
2008-01-01,64180
2009-01-01,62990
2010-01-01,62140
2011-01-01,58650
2012-01-01,57180
2013-01-01,64610
2014-01-01,62320
2015-01-01,66960
2016-01-01,67220
2017-01-01,74270
2018-01-01,73930
2019-01-01,76440
2020-01-01,70640
2021-01-01,70200
2022-01-01,70200
2023-01-01,73770
