observation_date,MEHOINUSOKA672N
1984-01-01,55600
1985-01-01,53920
1986-01-01,52400
1987-01-01,52480
1988-01-01,55220
1989-01-01,52900
1990-01-01,51980
1991-01-01,52370
1992-01-01,50720
1993-01-01,51400
1994-01-01,51700
1995-01-01,49240
1996-01-01,50020
1997-01-01,55960
1998-01-01,59390
1999-01-01,56380
2000-01-01,54090
2001-01-01,58070
2002-01-01,58730
2003-01-01,56650
2004-01-01,60980
2005-01-01,56320
2006-01-01,56460
2007-01-01,61260
2008-01-01,63050
2009-01-01,62990
2010-01-01,58370
2011-01-01,63650
2012-01-01,62380
2013-01-01,58770
2014-01-01,59250
2015-01-01,59140
2016-01-01,63440
2017-01-01,63490
2018-01-01,65300
2019-01-01,70210
2020-01-01,61380
2021-01-01,67300
2022-01-01,65960
2023-01-01,67330
