observation_date,MEHOINUSSCA672N
1984-01-01,53390
1985-01-01,50940
1986-01-01,54950
1987-01-01,60610
1988-01-01,59580
1989-01-01,53190
1990-01-01,61250
1991-01-01,56490
1992-01-01,55320
1993-01-01,51000
1994-01-01,57170
1995-01-01,54400
1996-01-01,63200
1997-01-01,61150
1998-01-01,58580
1999-01-01,62900
2000-01-01,62650
2001-01-01,61540
2002-01-01,60910
2003-01-01,60720
2004-01-01,59560
2005-01-01,60190
2006-01-01,57600
2007-01-01,62670
2008-01-01,57640
2009-01-01,56430
2010-01-01,56470
2011-01-01,52650
2012-01-01,57220
2013-01-01,55460
2014-01-01,56400
2015-01-01,58240
2016-01-01,67660
2017-01-01,66740
2018-01-01,68910
2019-01-01,73320
2020-01-01,70590
2021-01-01,70040
2022-01-01,64220
2023-01-01,69100
