observation_date,MEHOINUSTNA672N
1984-01-01,44120
1985-01-01,45200
1986-01-01,45670
1987-01-01,51250
1988-01-01,48660
1989-01-01,50540
1990-01-01,48160
1991-01-01,50300
1992-01-01,48780
1993-01-01,49140
1994-01-01,54860
1995-01-01,54300
1996-01-01,56130
1997-01-01,54680
1998-01-01,60030
1999-01-01,63010
2000-01-01,56860
2001-01-01,58360
2002-01-01,59650
2003-01-01,59210
2004-01-01,58610
2005-01-01,58950
2006-01-01,59160
2007-01-01,58390
2008-01-01,54290
2009-01-01,55630
2010-01-01,52260
2011-01-01,55530
2012-01-01,55400
2013-01-01,55210
2014-01-01,54880
2015-01-01,59460
2016-01-01,63940
2017-01-01,67680
2018-01-01,67250
2019-01-01,66940
2020-01-01,64310
2021-01-01,69610
2022-01-01,67980
2023-01-01,72700
