observation_date,MEHOINUSTXA672N
1984-01-01,60530
1985-01-01,60370
1986-01-01,60440
1987-01-01,59820
1988-01-01,58250
1989-01-01,57860
1990-01-01,60170
1991-01-01,57040
1992-01-01,56070
1993-01-01,56230
1994-01-01,58910
1995-01-01,59950
1996-01-01,60300
1997-01-01,62610
1998-01-01,63010
1999-01-01,66740
2000-01-01,64390
2001-01-01,66640
2002-01-01,64670
2003-01-01,61970
2004-01-01,63730
2005-01-01,61970
2006-01-01,62960
2007-01-01,65280
2008-01-01,63570
2009-01-01,65180
2010-01-01,64010
2011-01-01,64420
2012-01-01,66910
2013-01-01,65450
2014-01-01,67630
2015-01-01,70950
2016-01-01,72410
2017-01-01,73540
2018-01-01,71720
2019-01-01,79720
2020-01-01,80020
2021-01-01,75480
2022-01-01,77600
2023-01-01,79060
