observation_date,MEHOINUSWYA672N
1984-01-01,62610
1985-01-01,56140
1986-01-01,58930
1987-01-01,66760
1988-01-01,61640
1989-01-01,65990
1990-01-01,62800
1991-01-01,59750
1992-01-01,60600
1993-01-01,57630
1994-01-01,63480
1995-01-01,59000
1996-01-01,56430
1997-01-01,59660
1998-01-01,62070
1999-01-01,64260
2000-01-01,66090
2001-01-01,64780
2002-01-01,64050
2003-01-01,67150
2004-01-01,69880
2005-01-01,66900
2006-01-01,68390
2007-01-01,69090
2008-01-01,72930
2009-01-01,72040
2010-01-01,70700
2011-01-01,71600
2012-01-01,74110
2013-01-01,85870
2014-01-01,69910
2015-01-01,76540
2016-01-01,72010
2017-01-01,72860
2018-01-01,75020
2019-01-01,76990
2020-01-01,76570
2021-01-01,79570
2022-01-01,76000
2023-01-01,77200
