observation_date,ARPOP
1976-01-01,2170.161
1977-01-01,2209.010
1978-01-01,2243.127
1979-01-01,2271.333
1980-01-01,2288.738
1981-01-01,2293.201
1982-01-01,2294.257
1983-01-01,2305.761
1984-01-01,2319.768
1985-01-01,2327.046
1986-01-01,2331.984
1987-01-01,2342.355
1988-01-01,2342.656
1989-01-01,2346.358
1990-01-01,2354.343
1991-01-01,2370.666
1992-01-01,2394.098
1993-01-01,2423.743
1994-01-01,2450.605
1995-01-01,2480.121
1996-01-01,2504.858
1997-01-01,2524.007
1998-01-01,2538.202
1999-01-01,2551.373
2000-01-01,2678.588
2001-01-01,2691.571
2002-01-01,2705.927
2003-01-01,2724.816
2004-01-01,2749.686
2005-01-01,2781.097
2006-01-01,2821.761
2007-01-01,2848.650
2008-01-01,2874.554
2009-01-01,2896.843
2010-01-01,2921.998
2011-01-01,2941.038
2012-01-01,2952.876
2013-01-01,2960.459
2014-01-01,2968.759
2015-01-01,2979.732
2016-01-01,2991.815
2017-01-01,3003.855
2018-01-01,3012.161
2019-01-01,3020.985
2020-01-01,3014.546
2021-01-01,3026.870
2022-01-01,3047.704
2023-01-01,3069.463
2024-01-01,3088.354
