observation_date,CAPOP
1976-01-01,21935.909
1977-01-01,22352.396
1978-01-01,22835.958
1979-01-01,23256.880
1980-01-01,23800.800
1981-01-01,24285.933
1982-01-01,24820.009
1983-01-01,25360.026
1984-01-01,25844.393
1985-01-01,26441.109
1986-01-01,27102.237
1987-01-01,27777.158
1988-01-01,28464.249
1989-01-01,29218.164
1990-01-01,29950.111
1991-01-01,30414.114
1992-01-01,30875.920
1993-01-01,31147.208
1994-01-01,31317.179
1995-01-01,31493.525
1996-01-01,31780.829
1997-01-01,32217.708
1998-01-01,32682.794
1999-01-01,33145.121
2000-01-01,33987.977
2001-01-01,34479.458
2002-01-01,34871.843
2003-01-01,35253.159
2004-01-01,35574.576
2005-01-01,35827.943
2006-01-01,36021.202
2007-01-01,36250.311
2008-01-01,36604.337
2009-01-01,36961.229
2010-01-01,37319.550
2011-01-01,37636.311
2012-01-01,37944.551
2013-01-01,38253.768
2014-01-01,38586.706
2015-01-01,38904.296
2016-01-01,39149.186
2017-01-01,39337.785
2018-01-01,39437.463
2019-01-01,39437.610
2020-01-01,39521.958
2021-01-01,39142.565
2022-01-01,39142.414
2023-01-01,39198.693
2024-01-01,39431.263
