observation_date,DCPOP
1976-01-01,692.295
1977-01-01,677.228
1978-01-01,665.052
1979-01-01,650.016
1980-01-01,638.284
1981-01-01,636.893
1982-01-01,634.174
1983-01-01,632.433
1984-01-01,633.382
1985-01-01,634.549
1986-01-01,638.269
1987-01-01,636.930
1988-01-01,630.432
1989-01-01,624.168
1990-01-01,603.814
1991-01-01,593.239
1992-01-01,584.183
1993-01-01,576.358
1994-01-01,564.982
1995-01-01,551.273
1996-01-01,538.273
1997-01-01,528.752
1998-01-01,521.426
1999-01-01,519.000
2000-01-01,572.046
2001-01-01,574.504
2002-01-01,573.158
2003-01-01,568.502
2004-01-01,567.754
2005-01-01,567.136
2006-01-01,570.681
2007-01-01,574.404
2008-01-01,580.236
2009-01-01,592.228
2010-01-01,605.282
2011-01-01,620.290
2012-01-01,635.737
2013-01-01,651.559
2014-01-01,663.603
2015-01-01,677.014
2016-01-01,687.576
2017-01-01,697.079
2018-01-01,704.147
2019-01-01,708.253
2020-01-01,670.917
2021-01-01,669.256
2022-01-01,676.725
2023-01-01,687.324
2024-01-01,702.250
