observation_date,KYPOP
1976-01-01,3529.257
1977-01-01,3573.693
1978-01-01,3609.976
1979-01-01,3641.804
1980-01-01,3664.221
1981-01-01,3670.394
1982-01-01,3683.445
1983-01-01,3694.484
1984-01-01,3695.453
1985-01-01,3694.826
1986-01-01,3687.809
1987-01-01,3683.329
1988-01-01,3679.999
1989-01-01,3677.306
1990-01-01,3692.584
1991-01-01,3714.686
1992-01-01,3756.358
1993-01-01,3792.288
1994-01-01,3823.215
1995-01-01,3855.248
1996-01-01,3881.051
1997-01-01,3907.816
1998-01-01,3934.310
1999-01-01,3960.825
2000-01-01,4049.021
2001-01-01,4068.132
2002-01-01,4089.875
2003-01-01,4117.170
2004-01-01,4146.101
2005-01-01,4182.742
2006-01-01,4219.239
2007-01-01,4256.672
2008-01-01,4289.878
2009-01-01,4317.074
2010-01-01,4348.464
2011-01-01,4370.817
2012-01-01,4387.865
2013-01-01,4406.906
2014-01-01,4416.992
2015-01-01,4429.126
2016-01-01,4440.306
2017-01-01,4455.590
2018-01-01,4464.273
2019-01-01,4472.345
2020-01-01,4508.318
2021-01-01,4507.583
2022-01-01,4519.233
2023-01-01,4550.595
2024-01-01,4588.372
