observation_date,MNPOP
1976-01-01,3964.680
1977-01-01,3989.364
1978-01-01,4015.341
1979-01-01,4050.316
1980-01-01,4085.017
1981-01-01,4111.728
1982-01-01,4131.450
1983-01-01,4141.456
1984-01-01,4157.706
1985-01-01,4184.302
1986-01-01,4205.212
1987-01-01,4235.136
1988-01-01,4296.166
1989-01-01,4338.057
1990-01-01,4387.283
1991-01-01,4427.429
1992-01-01,4471.503
1993-01-01,4521.709
1994-01-01,4566.028
1995-01-01,4605.445
1996-01-01,4647.723
1997-01-01,4687.726
1998-01-01,4726.411
1999-01-01,4775.508
2000-01-01,4933.692
2001-01-01,4982.796
2002-01-01,5018.935
2003-01-01,5053.572
2004-01-01,5087.713
2005-01-01,5119.598
2006-01-01,5163.555
2007-01-01,5207.203
2008-01-01,5247.018
2009-01-01,5281.203
2010-01-01,5310.934
2011-01-01,5346.620
2012-01-01,5377.500
2013-01-01,5414.722
2014-01-01,5452.665
2015-01-01,5484.002
2016-01-01,5525.360
2017-01-01,5569.283
2018-01-01,5608.762
2019-01-01,5640.053
2020-01-01,5710.735
2021-01-01,5718.660
2022-01-01,5721.621
2023-01-01,5753.048
2024-01-01,5793.151
