observation_date,MOPOP
1976-01-01,4839.029
1977-01-01,4863.173
1978-01-01,4889.399
1979-01-01,4912.430
1980-01-01,4921.966
1981-01-01,4932.064
1982-01-01,4929.451
1983-01-01,4943.733
1984-01-01,4975.278
1985-01-01,5000.268
1986-01-01,5023.068
1987-01-01,5056.696
1988-01-01,5081.736
1989-01-01,5095.830
1990-01-01,5126.370
1991-01-01,5157.770
1992-01-01,5193.686
1993-01-01,5237.757
1994-01-01,5281.206
1995-01-01,5324.610
1996-01-01,5367.888
1997-01-01,5407.113
1998-01-01,5437.562
1999-01-01,5468.338
2000-01-01,5607.285
2001-01-01,5641.142
2002-01-01,5674.825
2003-01-01,5709.403
2004-01-01,5747.741
2005-01-01,5790.300
2006-01-01,5842.704
2007-01-01,5887.612
2008-01-01,5923.916
2009-01-01,5961.088
2010-01-01,5996.089
2011-01-01,6011.182
2012-01-01,6026.027
2013-01-01,6042.989
2014-01-01,6059.130
2015-01-01,6075.411
2016-01-01,6091.384
2017-01-01,6111.382
2018-01-01,6125.986
2019-01-01,6140.475
2020-01-01,6154.744
2021-01-01,6171.374
2022-01-01,6179.414
2023-01-01,6208.038
2024-01-01,6245.466
