observation_date,MTPOP
1976-01-01,757.317
1977-01-01,769.953
1978-01-01,782.317
1979-01-01,787.305
1980-01-01,788.752
1981-01-01,795.328
1982-01-01,803.986
1983-01-01,814.031
1984-01-01,820.905
1985-01-01,822.320
1986-01-01,813.739
1987-01-01,805.063
1988-01-01,800.202
1989-01-01,799.636
1990-01-01,799.824
1991-01-01,807.837
1992-01-01,822.436
1993-01-01,839.876
1994-01-01,854.923
1995-01-01,868.522
1996-01-01,876.656
1997-01-01,878.706
1998-01-01,879.533
1999-01-01,882.779
2000-01-01,903.773
2001-01-01,906.961
2002-01-01,911.667
2003-01-01,919.630
2004-01-01,930.009
2005-01-01,940.102
2006-01-01,952.692
2007-01-01,964.706
2008-01-01,976.415
2009-01-01,983.982
2010-01-01,990.730
2011-01-01,997.518
2012-01-01,1004.168
2013-01-01,1014.158
2014-01-01,1022.657
2015-01-01,1031.495
2016-01-01,1042.137
2017-01-01,1053.862
2018-01-01,1061.818
2019-01-01,1070.123
2020-01-01,1087.230
2021-01-01,1106.522
2022-01-01,1122.095
2023-01-01,1131.302
2024-01-01,1137.233
