observation_date,NVPOP
1976-01-01,646.975
1977-01-01,678.333
1978-01-01,719.436
1979-01-01,765.367
1980-01-01,810.215
1981-01-01,847.655
1982-01-01,881.537
1983-01-01,901.977
1984-01-01,924.922
1985-01-01,951.030
1986-01-01,980.613
1987-01-01,1023.376
1988-01-01,1075.022
1989-01-01,1137.382
1990-01-01,1218.629
1991-01-01,1285.046
1992-01-01,1330.694
1993-01-01,1380.197
1994-01-01,1456.388
1995-01-01,1525.777
1996-01-01,1596.476
1997-01-01,1675.581
1998-01-01,1743.772
1999-01-01,1809.253
2000-01-01,2018.741
2001-01-01,2098.399
2002-01-01,2173.791
2003-01-01,2248.850
2004-01-01,2346.222
2005-01-01,2432.143
2006-01-01,2522.658
2007-01-01,2601.072
2008-01-01,2653.630
2009-01-01,2684.665
2010-01-01,2702.483
2011-01-01,2713.114
2012-01-01,2744.670
2013-01-01,2776.956
2014-01-01,2818.935
2015-01-01,2868.531
2016-01-01,2919.555
2017-01-01,2972.097
2018-01-01,3030.725
2019-01-01,3090.771
2020-01-01,3116.967
2021-01-01,3148.141
2022-01-01,3176.116
2023-01-01,3214.363
2024-01-01,3267.467
