observation_date,NJPOP
1976-01-01,7339.745
1977-01-01,7337.169
1978-01-01,7350.804
1979-01-01,7366.512
1980-01-01,7376.330
1981-01-01,7407.472
1982-01-01,7430.968
1983-01-01,7467.785
1984-01-01,7515.473
1985-01-01,7565.528
1986-01-01,7622.159
1987-01-01,7670.742
1988-01-01,7712.333
1989-01-01,7726.089
1990-01-01,7757.158
1991-01-01,7784.269
1992-01-01,7827.770
1993-01-01,7874.891
1994-01-01,7918.796
1995-01-01,7965.523
1996-01-01,8009.624
1997-01-01,8054.178
1998-01-01,8095.542
1999-01-01,8143.412
2000-01-01,8430.621
2001-01-01,8492.671
2002-01-01,8552.643
2003-01-01,8601.402
2004-01-01,8634.561
2005-01-01,8651.974
2006-01-01,8661.679
2007-01-01,8677.885
2008-01-01,8711.090
2009-01-01,8755.602
2010-01-01,8799.451
2011-01-01,8828.552
2012-01-01,8845.671
2013-01-01,8857.821
2014-01-01,8867.277
2015-01-01,8870.312
2016-01-01,8873.584
2017-01-01,8888.147
2018-01-01,8891.730
2019-01-01,8891.258
2020-01-01,9272.794
2021-01-01,9270.541
2022-01-01,9295.227
2023-01-01,9379.642
2024-01-01,9500.851
