observation_date,NMPOP
1976-01-01,1189.295
1977-01-01,1215.720
1978-01-01,1238.034
1979-01-01,1284.722
1980-01-01,1309.400
1981-01-01,1332.748
1982-01-01,1363.823
1983-01-01,1394.361
1984-01-01,1416.717
1985-01-01,1438.361
1986-01-01,1462.729
1987-01-01,1478.520
1988-01-01,1490.337
1989-01-01,1503.901
1990-01-01,1519.933
1991-01-01,1547.115
1992-01-01,1580.750
1993-01-01,1614.937
1994-01-01,1653.329
1995-01-01,1682.417
1996-01-01,1706.151
1997-01-01,1722.939
1998-01-01,1733.535
1999-01-01,1739.844
2000-01-01,1821.204
2001-01-01,1831.690
2002-01-01,1855.309
2003-01-01,1877.574
2004-01-01,1903.808
2005-01-01,1932.274
2006-01-01,1962.137
2007-01-01,1990.070
2008-01-01,2010.662
2009-01-01,2036.802
2010-01-01,2064.614
2011-01-01,2080.707
2012-01-01,2087.715
2013-01-01,2092.833
2014-01-01,2090.236
2015-01-01,2090.071
2016-01-01,2092.555
2017-01-01,2092.844
2018-01-01,2093.754
2019-01-01,2099.634
2020-01-01,2118.606
2021-01-01,2117.333
2022-01-01,2113.868
2023-01-01,2121.164
2024-01-01,2130.256
