observation_date,NCPOP
1976-01-01,5607.964
1977-01-01,5685.607
1978-01-01,5759.492
1979-01-01,5823.491
1980-01-01,5898.980
1981-01-01,5956.653
1982-01-01,6019.101
1983-01-01,6077.056
1984-01-01,6164.006
1985-01-01,6253.954
1986-01-01,6321.578
1987-01-01,6403.700
1988-01-01,6480.594
1989-01-01,6565.459
1990-01-01,6656.987
1991-01-01,6748.135
1992-01-01,6831.850
1993-01-01,6947.412
1994-01-01,7060.959
1995-01-01,7185.403
1996-01-01,7307.658
1997-01-01,7428.672
1998-01-01,7545.828
1999-01-01,7650.789
2000-01-01,8081.614
2001-01-01,8210.122
2002-01-01,8326.201
2003-01-01,8422.501
2004-01-01,8553.152
2005-01-01,8705.407
2006-01-01,8917.270
2007-01-01,9118.037
2008-01-01,9309.449
2009-01-01,9449.566
2010-01-01,9574.586
2011-01-01,9658.913
2012-01-01,9751.810
2013-01-01,9846.717
2014-01-01,9937.295
2015-01-01,10037.218
2016-01-01,10161.802
2017-01-01,10275.758
2018-01-01,10391.358
2019-01-01,10501.384
2020-01-01,10449.652
2021-01-01,10564.320
2022-01-01,10710.793
2023-01-01,10881.189
2024-01-01,11046.024
