observation_date,ORPOP
1976-01-01,2378.262
1977-01-01,2446.673
1978-01-01,2518.298
1979-01-01,2588.012
1980-01-01,2641.218
1981-01-01,2667.982
1982-01-01,2664.922
1983-01-01,2653.066
1984-01-01,2666.588
1985-01-01,2672.652
1986-01-01,2683.528
1987-01-01,2700.991
1988-01-01,2741.297
1989-01-01,2790.575
1990-01-01,2858.547
1991-01-01,2918.745
1992-01-01,2973.934
1993-01-01,3034.490
1994-01-01,3087.142
1995-01-01,3141.421
1996-01-01,3195.087
1997-01-01,3243.254
1998-01-01,3282.055
1999-01-01,3316.154
2000-01-01,3429.708
2001-01-01,3467.937
2002-01-01,3513.424
2003-01-01,3547.376
2004-01-01,3569.463
2005-01-01,3613.202
2006-01-01,3670.883
2007-01-01,3722.417
2008-01-01,3768.748
2009-01-01,3808.600
2010-01-01,3837.614
2011-01-01,3872.672
2012-01-01,3900.102
2013-01-01,3924.110
2014-01-01,3965.447
2015-01-01,4018.542
2016-01-01,4093.271
2017-01-01,4147.294
2018-01-01,4183.538
2019-01-01,4216.116
2020-01-01,4243.779
2021-01-01,4254.280
2022-01-01,4247.372
2023-01-01,4253.653
2024-01-01,4272.371
