observation_date,TNPOP
1976-01-01,4346.928
1977-01-01,4422.921
1978-01-01,4486.314
1979-01-01,4560.473
1980-01-01,4600.252
1981-01-01,4627.658
1982-01-01,4646.041
1983-01-01,4659.749
1984-01-01,4686.737
1985-01-01,4715.296
1986-01-01,4738.708
1987-01-01,4782.927
1988-01-01,4822.437
1989-01-01,4854.444
1990-01-01,4890.626
1991-01-01,4946.886
1992-01-01,5013.999
1993-01-01,5085.666
1994-01-01,5163.016
1995-01-01,5241.168
1996-01-01,5313.576
1997-01-01,5378.433
1998-01-01,5432.679
1999-01-01,5483.535
2000-01-01,5703.719
2001-01-01,5750.789
2002-01-01,5795.918
2003-01-01,5847.812
2004-01-01,5910.809
2005-01-01,5991.057
2006-01-01,6088.766
2007-01-01,6175.727
2008-01-01,6247.411
2009-01-01,6306.019
2010-01-01,6355.518
2011-01-01,6400.298
2012-01-01,6455.752
2013-01-01,6496.943
2014-01-01,6544.617
2015-01-01,6595.354
2016-01-01,6651.277
2017-01-01,6714.748
2018-01-01,6778.180
2019-01-01,6830.325
2020-01-01,6927.904
2021-01-01,6965.740
2022-01-01,7062.217
2023-01-01,7148.304
2024-01-01,7227.750
