observation_date,VTPOP
1976-01-01,484.928
1977-01-01,491.931
1978-01-01,498.109
1979-01-01,505.372
1980-01-01,512.524
1981-01-01,515.594
1982-01-01,519.109
1983-01-01,523.302
1984-01-01,526.660
1985-01-01,530.035
1986-01-01,534.066
1987-01-01,540.267
1988-01-01,549.763
1989-01-01,557.707
1990-01-01,564.526
1991-01-01,567.141
1992-01-01,570.115
1993-01-01,574.004
1994-01-01,578.900
1995-01-01,582.827
1996-01-01,586.352
1997-01-01,588.665
1998-01-01,590.579
1999-01-01,593.740
2000-01-01,609.618
2001-01-01,612.223
2002-01-01,615.442
2003-01-01,617.858
2004-01-01,619.920
2005-01-01,621.215
2006-01-01,622.892
2007-01-01,623.481
2008-01-01,624.151
2009-01-01,624.817
2010-01-01,625.886
2011-01-01,627.197
2012-01-01,626.361
2013-01-01,626.603
2014-01-01,625.693
2015-01-01,625.810
2016-01-01,624.366
2017-01-01,625.132
2018-01-01,624.802
2019-01-01,624.046
2020-01-01,642.977
2021-01-01,647.210
2022-01-01,648.142
2023-01-01,648.708
2024-01-01,648.493
