observation_date,WYPOP
1976-01-01,396.952
1977-01-01,413.354
1978-01-01,432.880
1979-01-01,454.378
1980-01-01,474.185
1981-01-01,491.712
1982-01-01,506.400
1983-01-01,510.345
1984-01-01,504.896
1985-01-01,499.695
1986-01-01,495.633
1987-01-01,476.965
1988-01-01,465.101
1989-01-01,458.374
1990-01-01,453.401
1991-01-01,457.739
1992-01-01,463.491
1993-01-01,469.033
1994-01-01,474.982
1995-01-01,478.447
1996-01-01,480.085
1997-01-01,480.031
1998-01-01,480.045
1999-01-01,479.602
2000-01-01,494.300
2001-01-01,494.657
2002-01-01,500.017
2003-01-01,503.453
2004-01-01,509.106
2005-01-01,514.157
2006-01-01,522.667
2007-01-01,534.876
2008-01-01,546.043
2009-01-01,559.851
2010-01-01,564.531
2011-01-01,567.491
2012-01-01,576.656
2013-01-01,582.620
2014-01-01,583.159
2015-01-01,586.389
2016-01-01,585.243
2017-01-01,579.994
2018-01-01,579.054
2019-01-01,580.116
2020-01-01,577.681
2021-01-01,579.636
2022-01-01,581.978
2023-01-01,585.067
2024-01-01,587.618
